
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
5.620000000000000551e-01 1.140000000000000036e+01 4.992000000000000000e+03 1.200000000000000000e+01 6.150000000000000355e+00 -8.127999999999999670e-01 6.573000000000000398e+00 -9.395000000000000018e-01 6.049000000000000377e+00 3.569999999999999840e-01 2.773999999999999773e+02 -1.513000000000000114e+02 4.478999999999999773e+02 1.632000000000000000e+03
5.749999999999999556e-01 1.140000000000000036e+01 4.967000000000000000e+03 1.199000000000000021e+01 6.201999999999999957e+00 -8.175000000000000044e-01 6.636000000000000121e+00 -9.009000000000000341e-01 6.094000000000000306e+00 3.447999999999999954e-01 2.768999999999999773e+02 -1.573000000000000114e+02 4.488999999999999773e+02 1.656000000000000000e+03
5.879999999999999671e-01 1.140000000000000036e+01 4.943000000000000000e+03 1.197000000000000064e+01 6.243999999999999773e+00 -8.239999999999999547e-01 6.687999999999999723e+00 -8.624000000000000554e-01 6.128999999999999559e+00 3.280000000000000138e-01 2.771000000000000227e+02 -1.635999999999999943e+02 4.496999999999999886e+02 1.726000000000000000e+03
5.999999999999999778e-01 1.140000000000000036e+01 4.920000000000000000e+03 1.193999999999999950e+01 6.278999999999999915e+00 -8.329999999999999627e-01 6.732000000000000206e+00 -8.254000000000000226e-01 6.157000000000000028e+00 3.059000000000000052e-01 2.766999999999999886e+02 -1.694000000000000057e+02 4.505000000000000000e+02 1.832000000000000000e+03
6.129999999999999893e-01 1.140000000000000036e+01 4.899000000000000000e+03 1.191000000000000014e+01 6.304999999999999716e+00 -8.447000000000000064e-01 6.767000000000000348e+00 -7.901000000000000245e-01 6.176000000000000156e+00 2.782999999999999918e-01 2.771000000000000227e+02 -1.749000000000000057e+02 4.511999999999999886e+02 1.966000000000000000e+03
6.250000000000000000e-01 1.140000000000000036e+01 4.879000000000000000e+03 1.188000000000000078e+01 6.325000000000000178e+00 -8.598999999999999977e-01 6.793999999999999595e+00 -7.577000000000000401e-01 6.187000000000000277e+00 2.447999999999999898e-01 2.768999999999999773e+02 -1.794000000000000057e+02 4.518999999999999773e+02 2.121000000000000000e+03
6.380000000000000115e-01 1.140000000000000036e+01 4.862000000000000000e+03 1.184999999999999964e+01 6.336000000000000298e+00 -8.782999999999999696e-01 6.810999999999999943e+00 -7.280999999999999694e-01 6.190000000000000391e+00 2.056000000000000050e-01 2.776000000000000227e+02 -1.830999999999999943e+02 4.526000000000000227e+02 2.291000000000000000e+03
6.500000000000000222e-01 1.140000000000000036e+01 4.846000000000000000e+03 1.181000000000000050e+01 6.341000000000000192e+00 -9.002999999999999892e-01 6.822000000000000064e+00 -7.022000000000000464e-01 6.187000000000000277e+00 1.605999999999999928e-01 2.778000000000000114e+02 -1.855999999999999943e+02 4.536000000000000227e+02 2.471000000000000000e+03
6.630000000000000338e-01 1.140000000000000036e+01 4.833000000000000000e+03 1.177999999999999936e+01 6.338000000000000078e+00 -9.253000000000000114e-01 6.823999999999999844e+00 -6.795999999999999819e-01 6.176000000000000156e+00 1.105000000000000010e-01 2.786999999999999886e+02 -1.874000000000000057e+02 4.546000000000000227e+02 2.660000000000000000e+03
6.750000000000000444e-01 1.140000000000000036e+01 4.822000000000000000e+03 1.175000000000000000e+01 6.331000000000000405e+00 -9.532000000000000473e-01 6.820000000000000284e+00 -6.603999999999999870e-01 6.160000000000000142e+00 5.577000000000000013e-02 2.793000000000000114e+02 -1.880000000000000000e+02 4.558999999999999773e+02 2.856000000000000000e+03
6.879999999999999449e-01 1.140000000000000036e+01 4.813000000000000000e+03 1.173000000000000043e+01 6.315999999999999837e+00 -9.828999999999999959e-01 6.809000000000000163e+00 -6.439000000000000279e-01 6.136999999999999567e+00 -2.511999999999999910e-03 2.805000000000000000e+02 -1.881999999999999886e+02 4.573000000000000114e+02 3.062000000000000000e+03
6.999999999999999556e-01 1.140000000000000036e+01 4.806000000000000000e+03 1.172000000000000064e+01 6.296999999999999709e+00 -1.014000000000000012e+00 6.791999999999999815e+00 -6.300000000000000044e-01 6.110000000000000320e+00 -6.361999999999999600e-02 2.815000000000000000e+02 -1.876999999999999886e+02 4.590000000000000000e+02 3.279000000000000000e+03
7.129999999999999671e-01 1.140000000000000036e+01 4.801000000000000000e+03 1.171000000000000085e+01 6.272999999999999687e+00 -1.044999999999999929e+00 6.769000000000000128e+00 -6.177000000000000268e-01 6.078000000000000291e+00 -1.260999999999999899e-01 2.826999999999999886e+02 -1.873000000000000114e+02 4.608000000000000114e+02 3.509000000000000000e+03
7.249999999999999778e-01 1.140000000000000036e+01 4.775000000000000000e+03 1.171000000000000085e+01 6.246000000000000441e+00 -1.076000000000000068e+00 6.741999999999999993e+00 -6.066000000000000281e-01 6.041999999999999815e+00 -1.892000000000000071e-01 2.838000000000000114e+02 -1.866999999999999886e+02 4.628000000000000114e+02 3.753000000000000000e+03
7.379999999999999893e-01 1.140000000000000036e+01 4.751000000000000000e+03 1.171000000000000085e+01 6.214000000000000412e+00 -1.106000000000000094e+00 6.709999999999999964e+00 -5.957999999999999963e-01 6.001999999999999780e+00 -2.514000000000000123e-01 2.848999999999999773e+02 -1.866999999999999886e+02 4.646999999999999886e+02 4.014000000000000000e+03
7.500000000000000000e-01 1.140000000000000036e+01 4.730000000000000000e+03 1.173000000000000043e+01 6.179999999999999716e+00 -1.133000000000000007e+00 6.674000000000000377e+00 -5.849999999999999645e-01 5.958999999999999631e+00 -3.118000000000000216e-01 2.858999999999999773e+02 -1.870000000000000000e+02 4.666999999999999886e+02 4.289000000000000000e+03
